subtype	AMD077	AMD081	AMD082	AMD083	AMD084	AMD085	AMD087	AMD090	AMD091	AMD092	AMD093	AMD094	AMD095	AMD098	AMD100	AMD101	AMD102	AMD103	AMD104	AMD106	AMD110	AMD111	AMD112	AMD115	AMD117	AMD118	AMD119	AMD120	AMD121	AMD123	AMD124	AMD128	AMD130	AMD131	AMD132	AMD134	AMD135	AMD136	AMD137	AMD140	AMD_002	AMD_003	AMD_004	AMD_005	AMD_006	AMD_008	AMD_009	AMD_010	AMD_011	AMD_012	AMD_013	AMD_014	AMD_015	AMD_017	AMD_018	AMD_020	AMD_021	AMD_022	AMD_023	AMD_024	AMD_025	AMD_026	AMD_027	AMD_028	AMD_030	AMD_031	AMD_032	AMD_033	AMD_034	AMD_035	AMD_036	AMD_037	AMD_038	AMD_039	AMD_040	AMD_041	AMD_043	AMD_044	AMD_045	AMD_046	AMD_047	AMD_048	AMD_049	AMD_050	AMD_051	AMD_052	AMD_054	AMD_055	AMD_058	AMD_059	AMD_060	AMD_065	AMD_066	AMD_067	AMD_068	AMD_069	AMD_071	AMD_072	AMD_073	AMD_074	AMD_076	AMD_086	AMD_088	AMD_099	AMD_105	AMD_107	AMD_108	AMD_109	AMD_113	AMD_114	AMD_116	AMD_125	AMD_126	AMD_127	AMD_129	AMD_133	AMD_138	AMD_139	AMD_141	AMD_142	AMD_143	AMD_144	AMD_145	AMD_146	AMD_147	AMD_148	AMD_149	AMD_150	AMD_151	AMD_152	AMD_153	AMD_155	AMD_156	AMD_157	AMD_158	AMD_159	AMD_160	AMD_161	AMD_162	AMD_163	AMD_164	AMD_165	AMD_166	AMD_167	AMD_168	AMD_169	AMD_170	AMD_171	AMD_172	AMD_173	AMD_175	AMD_176	AMD_177	AMD_178	AMD_181	AMD_183	AMD_184	AMD_185	AMD_186	AMD_187	AMD_188	AMD_189	AMD_191	AMD_192	AMD_193	AMD_195	AMD_196	AMD_197	AMD_198	AMD_199	AMD_200	AMD_201	AMD_202	AMD_203	AMD_204	AMD_206	AMD_207	AMD_208	AMD_209	AMD_210	AMD_211	AMD_214	AMD_215	AMD_216	AMD_217	AMD_218	AMD_219	AMD_220	AMD_221	AMD_222	AMD_223	AMD_224	AMD_226	AMD_228	AMD_229	AMD_231	AMD_232	AMD_233	AMD_234	AMD_235	AMD_236	AMD_237	AMD_238	AMD_239	AMD_240
aminoglycoside__AAC(2')-IIa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045173760405562205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IIa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026941772149740873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013102769371759558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.877046516878798e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0815295222051145e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0004393520787524423	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IIc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008096138600553444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026339240471802373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021161483981429037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.455434769213762e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.771069734680253e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.578746438918317e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0815295222051145e-05	0.0	0.0	0.00010488264792380734	0.0	0.0	0.0	0.0007672102882737372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IId	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.281485591347639e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00013958848986785766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005049541234731736	0.0	0.0	0.0	0.0	0.0	0.0	0.00046978941607965654	0.0	0.0001699494926902406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032823774293540523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22470361369132e-05	0.0025577180305553894	0.0	0.0	0.0	0.0	0.0	0.0	0.0002611491436788035	0.0	0.0	0.0008931642238938602	0.0	0.0	0.0	0.0006287593465214204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88937197005301e-05	0.0	0.0	0.001220932907067491	0.0	0.0	0.0	0.00024559764055360773	0.0001302915046363481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.391199533210929e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001535144284327728	0.0	0.0	0.0	0.0004090424375747643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.682068954957938e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013536003456899237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003011635931676587	0.0	0.0	0.0	0.001051215579062388	0.0006913672771829566	0.0005458882898091227	0.0	0.0	0.0	0.0	0.0	0.00022396961118741808	0.00014212212442996512	0.0	0.0	0.0	0.0	0.0002804637273653003	0.0	0.0	0.0	5.53697756008774e-05	0.0004117075959827409	0.0	0.0001307300178925878	0.0007341785354666513	0.0	7.753319163662846e-05	0.0	0.013264458739420469	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IIe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192067487600938e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009866034067785568	0.0	0.0	0.0	0.0	0.0	0.0	5.694417164601898e-05	0.0	0.00031480048414212115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013458717019242145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.151571773218736e-05	0.0	0.0010662304796523734	0.0	0.0	0.0	0.0	0.0	0.0	5.3956434644380894e-05	0.0	0.0	0.00013692980227605724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88937197005301e-05	0.0	0.0	7.641867114533339e-05	0.0	0.0	0.0	0.00016373176036907182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039168374388914883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002164265491934014	0.0	0.0	0.0	0.0	4.924297573185172e-05	6.768001728449618e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.809876198556237e-05	0.0	0.0	0.0	0.00026346586931160604	0.0002164843978734135	0.0001410564056354322	0.0	0.0	0.0	0.0	0.0	0.000174069646000584	0.0	0.0	0.0	0.0	0.0	7.419675327124346e-05	0.0	0.0	0.0	0.0	0.00015140883882488706	0.0	0.0	0.0002080183041202063	0.0	3.45099722509788e-05	0.0	0.005663568352924695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IV	0.0	0.0	0.0	0.0	0.0	0.00022792177841009226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003992246556430733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006562926523945981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029148765476883637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003419384112218931	0.0	0.0	0.0013725979898015774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.043718363788214e-05	0.0	0.0005127212418455033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20825798575949e-05	0.0	0.00036341823082508063	0.0	0.0	0.0	0.0	0.0	0.0	0.0009328672669353282	0.0007617381035104148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.081259611527344e-05	5.45871746484868e-05	0.00015070143907286083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002030065702093107	0.0	0.0	0.0	0.0074622853890397986	0.003460373221989161	0.004372746237520118	0.0	0.0	0.0	0.0	0.0	0.0007320990247045369	0.0002960734074318754	0.0	0.0	0.0	0.0	0.002277168411695389	0.0	0.0	0.0	0.0006226499976178398	0.006357707621060189	0.0018767287892428356	0.0010104312160792276	0.0	7.487590115716925e-05	0.0003132177804728749	0.0	0.3680546979956924	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-VIa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004552070332005179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-Iaa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003150980801023743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-Iad	0.00022585744850989024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001016527534124025	0.0	0.0	0.0	0.0	0.0	0.0003180907648346503	0.0	0.0	0.0001314738096149438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012791688601866978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033334197170723265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010991683948270562	6.882546679566907e-05	0.00010992188051124135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.02244035686767e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012564786507744674	0.0	8.05838538372873e-05	0.0	0.0004243914131350658	0.0	0.0	5.7640762242414814e-05	0.0002907290492873489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011701785922710825	0.0	0.0	0.0	0.00021242011834969206	0.0	0.0	0.0	0.0002461262952252282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.039425590803809e-05	0.0003956430807981204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007297087577856197	0.0	0.0	7.379520754985014e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011293574162278632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003211833010754101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-Ib-cr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57574171280013e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
